country,hdi,lifeexpectancy,expectedyearsschooling,meanyearsschooling,gnipercapita,gnipercapitarank,hdirank
Norway,0.953,82.3,17.9,12.6,68012,5,1
Switzerland,0.944,83.5,16.2,13.4,57625,8,2
Australia,0.939,83.1,22.9,12.9,43560,18,3
Ireland,0.938,81.6,19.6,12.5,53754,8,4
Germany,0.936,81.2,17.0,14.1,46136,13,4
Iceland,0.935,82.9,19.3,12.4,45810,13,6
Hong Kong,0.933,84.1,16.3,12.0,58420,2,8
Sweden,0.933,82.6,17.6,12.4,47766,9,7
Singapore,0.932,83.2,16.2,11.5,82503,-6,8
Netherlands,0.931,82.0,18.0,12.2,47900,5,10
Denmark,0.929,80.9,19.1,12.6,47918,3,10
Canada,0.926,82.5,16.4,13.3,43433,10,12
United States,0.924,79.5,16.5,13.4,54941,-2,12
United Kingdom,0.922,81.7,17.4,12.9,39116,13,14
Finland,0.920,81.5,17.6,12.4,41002,10,15
New Zealand,0.917,82.0,18.9,12.5,33970,18,16
Belgium,0.916,81.3,19.8,11.8,42156,6,16
Liechtenstein,0.916,80.4,14.7,12.5,97336,-15,16
Japan,0.909,83.9,15.2,12.8,38986,9,19
Austria,0.908,81.8,16.1,12.1,45415,0,20
Luxembourg,0.904,82.0,14.0,12.1,65016,-13,26
Israel,0.903,82.7,15.9,13.0,32711,13,21
South Korea,0.903,82.4,16.5,12.1,35945,8,22
France,0.901,82.7,16.4,11.5,39254,2,23
Slovenia,0.896,81.1,17.2,12.2,30594,12,24
Spain,0.891,83.3,17.9,9.8,34258,7,25
Czechia,0.888,78.9,16.9,12.7,30588,11,27
Italy,0.880,83.2,16.3,10.2,35299,3,28
Malta,0.878,81.0,15.9,11.3,34396,3,29
Estonia,0.871,77.7,16.1,12.7,28993,10,30
Greece,0.870,81.4,17.3,10.8,24648,20,30
Cyprus,0.869,80.7,14.6,12.1,31568,4,32
Poland,0.865,77.8,16.4,12.3,26150,12,34
Arab Emirates,0.863,77.4,13.6,10.8,67805,-27,33
Andorra,0.858,81.7,13.5,10.2,47574,-18,35
Lithuania,0.858,74.8,16.1,13.0,28314,7,36
Qatar,0.856,78.3,13.4,9.8,116818,-36,36
Slovakia,0.855,77.0,15.0,12.5,29467,1,39
Brunei Darussalam,0.853,77.4,14.5,9.1,76427,-35,40
Saudi Arabia,0.853,74.7,16.9,9.5,49680,-26,38
Latvia,0.847,74.7,15.8,12.8,25002,8,43
Portugal,0.847,81.4,16.3,9.2,27315,2,42
Bahrain,0.846,77.0,16.0,9.4,41580,-19,41
Chile,0.843,79.7,16.4,10.3,21910,13,44
Hungary,0.838,76.1,15.1,11.9,25393,3,45
Croatia,0.831,77.8,15.0,11.3,22162,10,46
Argentina,0.825,76.7,17.4,9.9,18461,19,47
Oman,0.821,77.3,13.9,9.5,36290,-19,47
Russia,0.816,71.2,15.5,12.0,24233,3,49
Montenegro,0.814,77.3,14.9,11.3,16779,19,50
Bulgaria,0.813,74.9,14.8,11.8,18740,13,50
Romania,0.811,75.6,14.3,11.0,22646,2,52
Belarus,0.808,73.1,15.5,12.3,16323,18,54
Bahamas,0.807,75.8,12.8,11.1,26681,-10,53
Uruguay,0.804,77.6,15.9,8.7,19930,5,56
Kuwait,0.803,74.8,13.6,7.3,70524,-51,55
Malaysia,0.802,75.5,13.7,10.2,26107,-11,57
Barbados,0.800,76.1,15.3,10.6,15843,14,57
Kazakhstan,0.800,70.0,15.1,11.8,22626,-3,60
Iran,0.798,76.2,14.9,9.8,19130,3,61
Palau,0.798,73.4,15.6,12.3,12831,28,59
Seychelles,0.797,73.7,14.8,9.5,26077,-15,62
Costa Rica,0.794,80.0,15.4,8.8,14636,15,63
Turkey,0.791,76.0,15.2,8.0,24804,-14,65
Mauritius,0.790,74.9,15.1,9.3,20189,-6,64
