code,country
230,Spain
220,France
640,Ottoman Empire
365,Russia
70,Mexico
2,United States
337,Tuscany
325,Italy
300,Austria
332,Modena
255,Prussia
390,Denmark
329,Two Sicilies
327,Papal States
160,Argentina
140,Brazil
200,United Kingdom
630,Iran
600,Morocco
100,Colombia
130,Ecuador
150,Paraguay
155,Chile
135,Peru
275,Hesse Grand Ducal
271,Wuerttemburg
245,Bavaria
280,Mecklenburg Schwerin
273,Hesse Electoral
269,Saxony
267,Baden
240,Hanover
90,Guatemala
92,El Salvador
145,Bolivia
651,Egypt
710,China
740,Japan
350,Greece
91,Honduras
93,Nicaragua
355,Bulgaria
345,Yugoslavia
360,Romania
235,Portugal
211,Belgium
366,Estonia
375,Finland
367,Latvia
290,Poland
310,Hungary
315,Czechoslovakia
368,Lithuania
670,Saudi Arabia
678,Yemen Arab Republic
530,Ethiopia
712,Mongolia
385,Norway
20,Canada
210,Netherlands
900,Australia
920,New Zealand
560,South Africa
800,Thailand
750,India
770,Pakistan
666,Israel
652,Syria
660,Lebanon
663,Jordan
645,Iraq
840,Philippines
731,North Korea
732,South Korea
713,Taiwan
811,Cambodia
817,South Vietnam
816,Vietnam
812,Laos
352,Cyprus
40,Cuba
490,Democratic Republic of the Congo
540,Angola
520,Somalia
500,Uganda
510,Tanzania
620,Libya
483,Chad
690,Kuwait
698,Oman
696,Arab Emirates
694,Qatar
344,Croatia
346,Bosnia
373,Azerbaijan
371,Armenia
531,Eritrea
700,Afghanistan
