"CAI_IND"|"Indicator"|"LOCATION"|"Country"|"TIME"|"Time"|"Value"|"Flag Codes"|"Flags"
"600111"|"Total number of radio and television institutions"|"AUS"|"Australia"|"2005"|"2005"|296||
"600111"|"Total number of radio and television institutions"|"AUT"|"Austria"|"2005"|"2005"|137||
"600111"|"Total number of radio and television institutions"|"CAN"|"Canada"|"2005"|"2005"|188||
"600111"|"Total number of radio and television institutions"|"CZE"|"Czechia"|"2005"|"2005"|179||
"600111"|"Total number of radio and television institutions"|"FIN"|"Finland"|"2005"|"2005"|84||
"600111"|"Total number of radio and television institutions"|"FRA"|"France"|"2005"|"2005"|1168||
"600111"|"Total number of radio and television institutions"|"DEU"|"Germany"|"2005"|"2005"|515||
"600111"|"Total number of radio and television institutions"|"HUN"|"Hungary"|"2005"|"2005"|706||
"600111"|"Total number of radio and television institutions"|"ISL"|"Iceland"|"2005"|"2005"|18||
"600111"|"Total number of radio and television institutions"|"KOR"|"Republic of Korea"|"2005"|"2005"|572||
"600111"|"Total number of radio and television institutions"|"LUX"|"Luxembourg"|"2005"|"2005"|22||
"600111"|"Total number of radio and television institutions"|"MEX"|"Mexico"|"2005"|"2005"|2221||
"600111"|"Total number of radio and television institutions"|"NLD"|"Netherlands"|"2005"|"2005"|15||
"600111"|"Total number of radio and television institutions"|"NZL"|"New Zealand"|"2005"|"2005"|11||
"600111"|"Total number of radio and television institutions"|"NOR"|"Norway"|"2005"|"2005"|289||
"600111"|"Total number of radio and television institutions"|"POL"|"Poland"|"2005"|"2005"|216||
"600111"|"Total number of radio and television institutions"|"PRT"|"Portugal"|"2006"|"2006"|342||
"600111"|"Total number of radio and television institutions"|"SVK"|"Slovakia"|"2005"|"2005"|120||
"600111"|"Total number of radio and television institutions"|"SWE"|"Sweden"|"2005"|"2005"|256||
"600111"|"Total number of radio and television institutions"|"TUR"|"Turkey"|"2005"|"2005"|1631||
"600111"|"Total number of radio and television institutions"|"ALB"|"Albania"|"2005"|"2005"|117||
"600111"|"Total number of radio and television institutions"|"AIA"|"Anguilla"|"2005"|"2005"|5||
"600111"|"Total number of radio and television institutions"|"ABW"|"Aruba"|"2005"|"2005"|21||
"600111"|"Total number of radio and television institutions"|"AZE"|"Azerbaijan"|"2005"|"2005"|17||
"600111"|"Total number of radio and television institutions"|"BIH"|"Bosnia and Herzegovina"|"2005"|"2005"|218||
"600111"|"Total number of radio and television institutions"|"BRA"|"Brazil"|"2005"|"2005"|4967||
"600111"|"Total number of radio and television institutions"|"CMR"|"Cameroon"|"2005"|"2005"|115||
"600111"|"Total number of radio and television institutions"|"CPV"|"Cabo Verde"|"2005"|"2005"|11||
"600111"|"Total number of radio and television institutions"|"CYM"|"Cayman Islands"|"2005"|"2005"|12||
"600111"|"Total number of radio and television institutions"|"CHL"|"Chile"|"2004"|"2004"|1018||
"600111"|"Total number of radio and television institutions"|"CHN"|"China"|"2005"|"2005"|2507||
"600111"|"Total number of radio and television institutions"|"COL"|"Colombia"|"2006"|"2006"|888||
"600111"|"Total number of radio and television institutions"|"COG"|"Congo"|"2005"|"2005"|9||
