"country_id","country_name","HDI","blank1","life_expectancy","blank2","expected_years_schooling","blank3","mean_years_schooling","blank4","GNI_per_capita","blank5","gni_per_capita_rank","blank6","hdi_rank","blank7"
"1","Norway","0.953","","82.3","","17.9","","12.6","","68012","","5","","1",""
"2","Switzerland","0.944","","83.5","","16.2","","13.4","","57625","","8","","2",""
"3","Australia","0.939","","83.1","","22.9","b","12.9","","43560","","18","","3",""
"4","Ireland","0.938","","81.6","","19.6","b","12.5","c","53754","","8","","4",""
"5","Germany","0.936","","81.2","","17.0","","14.1","","46136","","13","","4",""
"6","Iceland","0.935","","82.9","","19.3","b","12.4","c","45810","","13","","6",""
"7","Hong Kong","0.933","","84.1","","16.3","","12.0","","58420","","2","","8",""
"8","Sweden","0.933","","82.6","","17.6","","12.4","","47766","","9","","7",""
"9","Singapore","0.932","","83.2","","16.2","d","11.5","","82503","e","-6","","8",""
"10","Netherlands","0.931","","82.0","","18.0","","12.2","","47900","","5","","10",""
"11","Denmark","0.929","","80.9","","19.1","b","12.6","f","47918","","3","","10",""
"12","Canada","0.926","","82.5","","16.4","c","13.3","","43433","","10","","12",""
"13","United States","0.924","","79.5","","16.5","","13.4","","54941","","-2","","12",""
"14","United Kingdom","0.922","","81.7","","17.4","","12.9","f","39116","","13","","14",""
"15","Finland","0.920","","81.5","","17.6","","12.4","","41002","","10","","15",""
"16","New Zealand","0.917","","82.0","","18.9","b","12.5","","33970","","18","","16",""
"17","Belgium","0.916","","81.3","","19.8","b","11.8","","42156","","6","","16",""
"18","Liechtenstein","0.916","","80.4","g","14.7","","12.5","h","97336","ei","-15","","16",""
"19","Japan","0.909","","83.9","","15.2","","12.8","j","38986","","9","","19",""
"20","Austria","0.908","","81.8","","16.1","","12.1","","45415","","0","","20",""
"21","Luxembourg","0.904","","82.0","","14.0","","12.1","f","65016","k","-13","","26",""
"22","Israel","0.903","","82.7","","15.9","","13.0","","32711","","13","","21",""
"23","South Korea","0.903","","82.4","","16.5","","12.1","","35945","","8","","22",""
"24","France","0.901","","82.7","","16.4","","11.5","","39254","","2","","23",""
"25","Slovenia","0.896","","81.1","","17.2","","12.2","","30594","","12","","24",""
"26","Spain","0.891","","83.3","","17.9","","9.8","","34258","","7","","25",""
"27","Czechia","0.888","","78.9","","16.9","","12.7","","30588","","11","","27",""
"28","Italy","0.880","","83.2","","16.3","","10.2","f","35299","","3","","28",""
"29","Malta","0.878","","81.0","","15.9","","11.3","","34396","","3","","29",""
"30","Estonia","0.871","","77.7","","16.1","","12.7","","28993","","10","","30",""
"31","Greece","0.870","","81.4","","17.3","","10.8","","24648","","20","","30",""
"32","Cyprus","0.869","","80.7","","14.6","","12.1","","31568","","4","","32",""
"33","Poland","0.865","","77.8","","16.4","","12.3","","26150","","12","","34",""
"34","United Arab Emirates","0.863","","77.4","","13.6","","10.8","l","67805","","-27","","33",""
"35","Andorra","0.858","","81.7","g","13.5","d","10.2","","47574","m","-18","","35",""
"35","Lithuania","0.858","","74.8","","16.1","","13.0","","28314","","7","","36",""
"37","Qatar","0.856","","78.3","","13.4","","9.8","","116818","e","-36","","36",""
"38","Slovakia","0.855","","77.0","","15.0","","12.5","","29467","","1","","39",""
"39","Brunei Darussalam","0.853","","77.4","","14.5","","9.1","j","76427","e","-35","","40",""
"39","Saudi Arabia","0.853","","74.7","","16.9","","9.5","f","49680","","-26","","38",""
"41","Latvia","0.847","","74.7","","15.8","","12.8","f","25002","","8","","43",""
"41","Portugal","0.847","","81.4","","16.3","","9.2","","27315","","2","","42",""
"43","Bahrain","0.846","","77.0","","16.0","","9.4","l","41580","","-19","","41",""
"44","Chile","0.843","","79.7","","16.4","","10.3","","21910","","13","","44",""
"45","Hungary","0.838","","76.1","","15.1","","11.9","","25393","","3","","45",""
"46","Croatia","0.831","","77.8","","15.0","","11.3","l","22162","","10","","46",""
"47","Argentina","0.825","","76.7","","17.4","","9.9","l","18461","","19","","47",""
"48","Oman","0.821","","77.3","","13.9","","9.5","","36290","","-19","","47",""
"49","Russian Federation","0.816","","71.2","","15.5","","12.0","f","24233","","3","","49",""
"50","Montenegro","0.814","","77.3","","14.9","","11.3","f","16779","","19","","50",""
"51","Bulgaria","0.813","","74.9","","14.8","","11.8","","18740","","13","","50",""
"52","Romania","0.811","","75.6","","14.3","","11.0","","22646","","2","","52",""
"53","Belarus","0.808","","73.1","","15.5","","12.3","","16323","","18","","54",""
"54","Bahamas","0.807","","75.8","","12.8","n","11.1","f","26681","","-10","","53",""
"55","Uruguay","0.804","","77.6","","15.9","","8.7","","19930","","5","","56",""
"56","Kuwait","0.803","","74.8","","13.6","","7.3","","70524","","-51","","55",""
"57","Malaysia","0.802","","75.5","","13.7","","10.2","f","26107","","-11","","57",""
"58","Barbados","0.800","","76.1","","15.3","","10.6","o","15843","k","14","","57",""
"58","Kazakhstan","0.800","","70.0","","15.1","","11.8","j","22626","","-3","","60",""
"60","Iran","0.798","","76.2","","14.9","","9.8","","19130","","3","","61",""
"60","Palau","0.798","","73.4","g","15.6","","12.3","","12831","","28","","59",""
"62","Seychelles","0.797","","73.7","","14.8","","9.5","d","26077","k","-15","","62",""
"63","Costa Rica","0.794","","80.0","","15.4","","8.8","","14636","","15","","63",""
"64","Turkey","0.791","","76.0","","15.2","","8.0","","24804","","-14","","65",""
"65","Mauritius","0.790","","74.9","","15.1","","9.3","j","20189","","-6","","64",""
"66","Panama","0.789","","78.2","","12.7","","10.2","j","19178","","-4","","66",""
"67","Serbia","0.787","","75.3","","14.6","","11.1","","13019","","18","","66",""
"68","Albania","0.785","","78.5","","14.8","","10.0","","11886","","23","","69",""
"69","Trinidad and Tobago","0.784","","70.8","","12.9","n","10.9","f","28622","k","-28","","66",""
"70","Antigua and Barbuda","0.780","","76.5","","13.2","f","9.2","d","20764","k","-12","","70",""
"70","Georgia","0.780","","73.4","","15.0","","12.8","","9186","","35","","71",""
"72","Saint Kitts and Nevis","0.778","","74.4","g","14.4","","8.4","n","23978","k","-19","","72",""
"73","Cuba","0.777","","79.9","","14.0","","11.8","f","7524","p","43","","72",""
"74","Mexico","0.774","","77.3","","14.1","","8.6","","16944","","-6","","74",""
"75","Grenada","0.772","","73.8","","16.9","","8.7","n","12864","k","12","","75",""
"76","Sri Lanka","0.770","","75.5","","13.9","","10.9","f","11326","","19","","76",""
